referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.24,0.7599009900990099,307,97,0.21172638436482086,0.21172638436482086,0.7967914438502673,0.775,0.8465909090909091,0.7099236641221374,0.1579849353543893,0.06896331007737054,0.5,lightgbm,platt
0.26,0.7400990099009901,299,105,0.21070234113712374,0.21070234113712374,0.7989130434782609,0.7739130434782608,0.8497109826589595,0.7063492063492064,0.1570272806194766,0.07299626730400663,0.5,lightgbm,platt
0.28,0.7202970297029703,291,113,0.20962199312714777,0.20962199312714777,0.8044692737430168,0.7678571428571429,0.8470588235294118,0.7107438016528925,0.1560887581778418,0.07027462957570259,0.5,lightgbm,platt
0.3,0.7004950495049505,283,121,0.20141342756183744,0.20141342756183744,0.8103448275862069,0.7798165137614679,0.8545454545454545,0.7203389830508474,0.15237900812025457,0.07010394938075412,0.5,lightgbm,platt
0.32,0.6806930693069307,275,129,0.19272727272727272,0.19272727272727272,0.8224852071005917,0.7830188679245284,0.8580246913580247,0.7345132743362832,0.14838142895277764,0.06197196064402177,0.5,lightgbm,platt
0.34,0.6608910891089109,267,137,0.1760299625468165,0.1760299625468165,0.8466257668711656,0.7884615384615384,0.8625,0.7663551401869159,0.1410083897684636,0.05703141223588946,0.5,lightgbm,platt
0.36,0.6410891089108911,259,145,0.18146718146718147,0.18146718146718147,0.84375,0.7777777777777778,0.8598726114649682,0.7549019607843137,0.1428498173654381,0.06051884597937993,0.5,lightgbm,platt
0.38,0.6188118811881188,250,154,0.172,0.172,0.8589743589743589,0.776595744680851,0.864516129032258,0.7684210526315789,0.13811199869849025,0.06110652132787193,0.5,lightgbm,platt
0.4,0.599009900990099,242,162,0.16942148760330578,0.16942148760330578,0.8636363636363636,0.7727272727272727,0.869281045751634,0.7640449438202247,0.13647120172850405,0.059034013326611255,0.5,lightgbm,platt
0.42,0.5792079207920792,234,170,0.17094017094017094,0.17094017094017094,0.8609271523178808,0.7710843373493976,0.87248322147651,0.7529411764705882,0.13680540092746227,0.06537078420045944,0.5,lightgbm,platt
0.44,0.5594059405940595,226,178,0.1592920353982301,0.1592920353982301,0.87248322147651,0.7792207792207793,0.8843537414965986,0.759493670886076,0.13036394712943256,0.05903202715866164,0.5,lightgbm,platt
0.46,0.5396039603960396,218,186,0.16055045871559634,0.16055045871559634,0.8732394366197183,0.7763157894736842,0.8794326241134752,0.7662337662337663,0.13069758239224344,0.06502106620787114,0.5,lightgbm,platt
0.48,0.5198019801980198,210,194,0.1523809523809524,0.1523809523809524,0.8768115942028986,0.7916666666666666,0.8897058823529411,0.7702702702702703,0.1258948051616277,0.06474671072632145,0.5,lightgbm,platt
0.5,0.5,202,202,0.1485148514851485,0.1485148514851485,0.8740740740740741,0.8059701492537313,0.9007633587786259,0.7605633802816901,0.12335791913503802,0.061334392779794744,0.5,lightgbm,platt
0.52,0.4801980198019802,194,210,0.15463917525773196,0.15463917525773196,0.8702290076335878,0.7936507936507936,0.8976377952755905,0.746268656716418,0.1269708231330122,0.07165853681823604,0.5,lightgbm,platt
0.54,0.4603960396039604,186,218,0.14516129032258066,0.14516129032258066,0.8740157480314961,0.8135593220338984,0.9098360655737705,0.75,0.12077896821260305,0.06639414969960551,0.5,lightgbm,platt
0.56,0.4405940594059406,178,226,0.1348314606741573,0.1348314606741573,0.8861788617886179,0.8181818181818182,0.9159663865546218,0.7627118644067796,0.11366967995220856,0.05996097777255933,0.5,lightgbm,platt
0.58,0.4207920792079208,170,234,0.11764705882352941,0.11764705882352941,0.8991596638655462,0.8431372549019608,0.9304347826086956,0.7818181818181819,0.1016391613472598,0.04659240735702168,0.5,lightgbm,platt
0.6,0.400990099009901,162,242,0.10493827160493827,0.10493827160493827,0.9035087719298246,0.875,0.944954128440367,0.7924528301886793,0.09240535572230889,0.04568152921731542,0.5,lightgbm,platt
0.62,0.3811881188118812,154,250,0.09090909090909091,0.09090909090909091,0.9181818181818182,0.8863636363636364,0.9528301886792453,0.8125,0.0821550965296055,0.043447834703608516,0.5,lightgbm,platt
0.64,0.3589108910891089,145,259,0.0896551724137931,0.0896551724137931,0.9230769230769231,0.8780487804878049,0.9504950495049505,0.8181818181818182,0.0810962616247912,0.03824878592463479,0.5,lightgbm,platt
0.66,0.33910891089108913,137,267,0.08759124087591241,0.08759124087591241,0.93,0.8648648648648649,0.9489795918367347,0.8205128205128205,0.07947167418132824,0.03498333258676245,0.5,lightgbm,platt
0.68,0.3193069306930693,129,275,0.08527131782945736,0.08527131782945736,0.925531914893617,0.8857142857142857,0.9560439560439561,0.8157894736842105,0.07756966170469541,0.039653730796827935,0.5,lightgbm,platt
0.7,0.2995049504950495,121,283,0.08264462809917356,0.08264462809917356,0.9325842696629213,0.875,0.9540229885057471,0.8235294117647058,0.07547345927967912,0.03404067576754842,0.5,lightgbm,platt
0.72,0.27970297029702973,113,291,0.07079646017699115,0.07079646017699115,0.9523809523809523,0.8620689655172413,0.9523809523809523,0.8620689655172413,0.06599090499713528,0.025528780392150934,0.5,lightgbm,platt
0.74,0.2599009900990099,105,299,0.06666666666666667,0.06666666666666667,0.9629629629629629,0.8333333333333334,0.9512195121951219,0.8695652173913043,0.06260956653190251,0.024686928670294775,0.5,lightgbm,platt
0.76,0.2400990099009901,97,307,0.061855670103092786,0.061855670103092786,0.9733333333333334,0.8181818181818182,0.948051948051948,0.9,0.05859272692880614,0.023315495196755694,0.5,lightgbm,platt
0.78,0.2202970297029703,89,315,0.056179775280898875,0.056179775280898875,0.9714285714285714,0.8421052631578947,0.9577464788732394,0.8888888888888888,0.05386318713762605,0.02111155455062067,0.5,lightgbm,platt
0.8,0.2004950495049505,81,323,0.06172839506172839,0.06172839506172839,0.9692307692307692,0.8125,0.9545454545454546,0.8666666666666667,0.05868737951507913,0.0301910133866897,0.5,lightgbm,platt
0.82,0.1806930693069307,73,331,0.0684931506849315,0.0684931506849315,0.9682539682539683,0.7,0.953125,0.7777777777777778,0.06467370662965105,0.04048039580902315,0.5,lightgbm,platt
0.84,0.1608910891089109,65,339,0.07692307692307693,0.07692307692307693,0.9655172413793104,0.5714285714285714,0.9491525423728814,0.6666666666666666,0.07223951524630762,0.05242395225999682,0.5,lightgbm,platt
0.86,0.14108910891089108,57,347,0.07017543859649122,0.07017543859649122,0.9622641509433962,0.5,0.9622641509433962,0.5,0.06634217762186967,0.04896290647197001,0.5,lightgbm,platt
0.88,0.1188118811881188,48,356,0.041666666666666664,0.041666666666666664,0.9782608695652174,0.5,0.9782608695652174,0.5,0.04005068062687856,0.02395593564009907,0.5,lightgbm,platt
0.9,0.09900990099009901,40,364,0.025,0.025,1.0,0.0,0.975,,0.024732200915674348,0.010683201875128057,0.5,lightgbm,platt
0.92,0.07920792079207921,32,372,0.03125,0.03125,1.0,0.0,0.96875,,0.030736151453928596,0.02000364060087889,0.5,lightgbm,platt
0.94,0.0594059405940594,24,380,0.041666666666666664,0.041666666666666664,1.0,0.0,0.9583333333333334,,0.04088120291521529,0.03240188577120284,0.5,lightgbm,platt
0.0,1.0,404,0,0.27722772277227725,0.27722772277227725,0.6824034334763949,0.7777777777777778,0.8071065989847716,0.642512077294686,0.18251587532498084,0.07695117071178811,0.5,lightgbm,uncalibrated
0.02,0.9801980198019802,396,8,0.2676767676767677,0.2676767676767677,0.6929824561403509,0.7857142857142857,0.8144329896907216,0.6534653465346535,0.18108149087037606,0.07493394695710073,0.5,lightgbm,uncalibrated
0.04,0.9603960396039604,388,16,0.2603092783505155,0.2603092783505155,0.7022222222222222,0.7914110429447853,0.8229166666666666,0.6581632653061225,0.17951947540963922,0.0788529949044372,0.5,lightgbm,uncalibrated
