referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.0,1.0,2158,0,0.23586654309545876,0.23586654309545876,0.8017656500802568,0.7127192982456141,0.7922283901665345,0.7246376811594203,0.15850301286662477,0.029127519875498234,0.5,lightgbm,platt
0.02,0.9800741427247451,2115,43,0.23026004728132388,0.23026004728132388,0.806530612244898,0.7191011235955056,0.7980613893376414,0.7297605473204105,0.15663725965992853,0.02932390520704423,0.5,lightgbm,platt
0.04,0.9601482854494903,2072,86,0.2249034749034749,0.2249034749034749,0.8109908409658618,0.7256027554535017,0.8029678483099753,0.7357392316647264,0.15470671170570097,0.02970543572684287,0.5,lightgbm,platt
0.06,0.9402224281742354,2029,129,0.21636274026614097,0.21636274026614097,0.8169491525423729,0.7373380447585395,0.8121314237573716,0.7434679334916865,0.1524785462608155,0.028800278067477147,0.5,lightgbm,platt
0.08,0.9198331788693235,1985,173,0.20654911838790932,0.20654911838790932,0.8255613126079447,0.7484885126964933,0.8213058419243986,0.7539585870889159,0.14993656746732703,0.03403898915171494,0.5,lightgbm,platt
0.1,0.8999073215940686,1942,216,0.203913491246138,0.203913491246138,0.8283450704225352,0.750620347394541,0.8239929947460596,0.75625,0.14811433875500363,0.03226731287137171,0.5,lightgbm,platt
0.12,0.8799814643188137,1899,259,0.2001053185887309,0.2001053185887309,0.830948121645796,0.7554417413572343,0.8294642857142858,0.7573812580231065,0.14610853027741752,0.0317996443784873,0.5,lightgbm,platt
0.14,0.8600556070435589,1856,302,0.19773706896551724,0.19773706896551724,0.8357664233576643,0.7539473684210526,0.8304623753399819,0.7609561752988048,0.1443269549051595,0.030856781460993632,0.5,lightgbm,platt
0.16,0.840129749768304,1813,345,0.19194704908990623,0.19194704908990623,0.840782122905028,0.7604871447902571,0.8361111111111111,0.7667121418826739,0.14185958908077603,0.03127307823606279,0.5,lightgbm,platt
0.18,0.8202038924930491,1770,388,0.188135593220339,0.188135593220339,0.8471035137701804,0.7601115760111576,0.8383458646616542,0.7719546742209632,0.13974679947939594,0.032452624721980655,0.5,lightgbm,platt
0.2,0.7998146431881371,1726,432,0.18482039397450753,0.18482039397450753,0.8504854368932039,0.7629310344827587,0.8414985590778098,0.7751824817518248,0.13768843006127443,0.03370506213096624,0.5,lightgbm,platt
0.22,0.7798887859128822,1683,475,0.18122400475341652,0.18122400475341652,0.8537549407114624,0.7660208643815202,0.8462291870714985,0.7764350453172205,0.13553496855556685,0.03295226176768472,0.5,lightgbm,platt
0.24,0.7599629286376274,1640,518,0.17865853658536585,0.17865853658536585,0.8569989929506546,0.7666151468315301,0.8493013972055888,0.7774294670846394,0.13368304028822345,0.03560342059472078,0.5,lightgbm,platt
0.26,0.7400370713623726,1597,561,0.17094552285535378,0.17094552285535378,0.8627450980392157,0.7770700636942676,0.8565573770491803,0.785829307568438,0.13011976979137488,0.034053407296843655,0.5,lightgbm,platt
0.28,0.7201112140871178,1554,604,0.16602316602316602,0.16602316602316602,0.8697478991596639,0.7774086378737541,0.8607068607068608,0.7905405405405406,0.12741624220249592,0.033788633576116514,0.5,lightgbm,platt
0.3,0.7001853568118629,1511,647,0.1628060886829914,0.1628060886829914,0.872454448017149,0.7802768166089965,0.8650371944739639,0.7912280701754386,0.12528033744489728,0.03514040279058322,0.5,lightgbm,platt
0.32,0.6797961075069509,1467,691,0.1547375596455351,0.1547375596455351,0.8795180722891566,0.7888086642599278,0.8728260869565218,0.7989031078610603,0.12116799191915056,0.032300169000480876,0.5,lightgbm,platt
0.34,0.659870250231696,1424,734,0.1502808988764045,0.1502808988764045,0.883538633818589,0.7928436911487758,0.8776418242491657,0.8019047619047619,0.11846580406596095,0.03288299890302964,0.5,lightgbm,platt
0.36,0.6399443929564411,1381,777,0.14120202751629254,0.14120202751629254,0.8881278538812786,0.807920792079208,0.8891428571428571,0.8063241106719368,0.11365794594515365,0.02880318319265136,0.5,lightgbm,platt
0.38,0.6200185356811863,1338,820,0.1382660687593423,0.1382660687593423,0.8879813302217037,0.814968814968815,0.8952941176470588,0.8032786885245902,0.11156767699519654,0.03082632656795584,0.5,lightgbm,platt
